id,talhao_id,fazenda_id,area_ha,latitude,longitude,safra,data,dia_juliano,dias_desde_plantio,estagio_fenologico,ndvi,evi,temperatura_superficie_c,umidade_solo_satelite_pct,precipitacao_mm,temperatura_ar_c,umidade_ar_pct,umidade_solo_sensor_pct,luminosidade_lux,necessidade_irrigacao,status_saude,produtividade_estimada_ton_ha,mes,ciclo_total_dias,dias_desde_plantio_pct,estagio_fenologico_cod,ndvi_media_7d,ndvi_tendencia_7d,precipitacao_acum_7d,umidade_solo_sensor_lag1,umidade_solo_sensor_delta1,amplitude_termica,indice_estresse_climatico,razao_umidade_sensor_satelite,cultura_Feijao,cultura_Milho,cultura_Soja,estacao_primavera,estacao_verao
251,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-25,329,30,vegetativo,0.277,0.2149,28.84,8.0,0.0,27.01,68.95,13.04,58871.2,1,saudavel,4.88,11,140,0.2143,1,0.2484,0.0762,46.23,18.7,-5.66,1.83,8.39,1.63,0,1,0,1,0
252,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-26,330,31,vegetativo,0.2653,0.2105,24.29,8.0,0.0,24.06,72.78,11.09,54487.0,1,atencao,4.88,11,140,0.2214,1,0.2527,0.0302,46.23,13.04,-1.95,0.23,6.55,1.3862,0,1,0,1,0
253,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-27,331,32,vegetativo,0.2818,0.2564,26.1,8.0,10.22,25.11,63.31,15.74,38887.5,0,atencao,4.88,11,140,0.2286,1,0.2635,0.0753,56.45,11.09,4.65,0.99,9.21,1.9675,0,1,0,1,0
254,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-28,332,33,vegetativo,0.3165,0.2618,26.56,17.16,24.24,27.57,72.6,27.26,31655.3,0,saudavel,4.88,11,140,0.2357,1,0.2743,0.076,80.69,15.74,11.52,-1.01,7.55,1.5886,0,1,0,1,0
255,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-29,333,34,vegetativo,0.3465,0.2856,27.51,22.3,15.91,26.39,72.6,33.39,41577.1,0,saudavel,4.88,11,140,0.2429,1,0.2891,0.1035,87.18,27.26,6.13,1.12,7.23,1.4973,0,1,0,1,0
256,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-30,334,35,vegetativo,0.3545,0.3404,25.61,19.21,0.0,25.3,74.01,25.11,56826.4,1,saudavel,4.88,11,140,0.25,1,0.302,0.0899,87.18,33.39,-8.28,0.31,6.58,1.3071,0,1,0,1,0
257,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-01,335,36,vegetativo,0.4006,0.3476,25.23,16.32,0.0,26.33,81.57,21.26,63326.2,1,saudavel,4.88,12,140,0.2571,1,0.3203,0.1284,50.37,25.11,-3.85,-1.1,4.85,1.3027,0,1,0,0,1
258,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-02,336,37,vegetativo,0.4054,0.3514,26.9,30.89,34.25,25.47,80.94,38.88,27602.7,0,saudavel,4.88,12,140,0.2643,1,0.3387,0.1284,84.62,21.26,17.62,1.43,4.85,1.2587,0,1,0,0,1
259,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-03,337,38,vegetativo,0.4158,0.346,24.43,27.18,0.0,25.48,77.11,35.19,61642.7,1,saudavel,4.88,12,140,0.2714,1,0.3602,0.1505,84.62,38.88,-3.69,-1.05,5.83,1.2947,0,1,0,0,1
260,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-04,338,39,vegetativo,0.4548,0.3746,27.05,28.88,10.31,26.34,77.11,32.1,48898.1,0,saudavel,4.88,12,140,0.2786,1,0.3849,0.173,84.71,35.19,-3.09,0.71,6.03,1.1115,0,1,0,0,1
261,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-05,339,40,vegetativo,0.4909,0.3735,23.05,25.61,0.0,24.16,82.8,24.04,59081.6,1,saudavel,4.88,12,140,0.2857,1,0.4098,0.1744,60.47,32.1,-8.06,-1.11,4.16,0.9387,0,1,0,0,1
262,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-06,340,41,vegetativo,0.5195,0.461,26.14,30.83,16.63,25.22,77.02,29.79,40360.2,0,saudavel,4.88,12,140,0.2929,1,0.4345,0.173,61.19,24.04,5.75,0.92,5.8,0.9663,0,1,0,0,1
263,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-07,341,42,vegetativo,0.5775,0.4999,24.14,34.6,14.24,24.58,73.48,33.13,45119.4,0,saudavel,4.88,12,140,0.3,1,0.4664,0.223,75.43,29.79,3.34,-0.44,6.52,0.9575,0,1,0,0,1
264,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-08,342,43,vegetativo,0.5535,0.4669,20.58,37.35,12.39,22.57,70.27,37.26,44903.1,0,saudavel,4.88,12,140,0.3071,1,0.4882,0.1529,87.82,33.13,4.13,-1.99,6.71,0.9976,0,1,0,0,1
265,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-09,343,44,vegetativo,0.5921,0.5005,21.22,33.63,0.0,23.47,76.17,28.6,60063.6,1,saudavel,4.88,12,140,0.3143,1,0.5149,0.1867,53.57,37.26,-8.66,-2.25,5.59,0.8504,0,1,0,0,1
266,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-10,344,45,vegetativo,0.6282,0.5487,26.05,40.04,20.42,27.1,80.04,36.64,38626.2,0,saudavel,4.88,12,140,0.3214,1,0.5452,0.2124,73.99,28.6,8.04,-1.05,5.41,0.9151,0,1,0,0,1
267,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-11,345,46,vegetativo,0.6444,0.5166,23.16,35.98,0.0,25.22,88.84,30.67,56855.7,1,saudavel,4.88,12,140,0.3286,1,0.5723,0.1896,63.68,36.64,-5.97,-2.06,2.81,0.8524,0,1,0,0,1
268,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-12,346,47,vegetativo,0.659,0.5483,20.46,39.73,14.3,22.56,79.42,34.83,48483.0,0,saudavel,4.88,12,140,0.3357,1,0.5963,0.1681,77.98,30.67,4.16,-2.1,4.64,0.8767,0,1,0,0,1
269,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-13,347,48,vegetativo,0.6608,0.539,21.45,38.41,4.64,22.13,75.6,29.53,56459.0,0,saudavel,4.88,12,140,0.3429,1,0.6165,0.1413,65.99,34.83,-5.3,-0.68,5.4,0.7688,0,1,0,0,1
270,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-14,348,49,floracao,0.7031,0.6331,21.09,39.46,9.55,24.17,72.33,31.69,48981.4,0,saudavel,4.88,12,140,0.35,2,0.6344,0.1256,61.3,29.53,2.16,-3.08,6.69,0.8031,0,1,0,0,1
271,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-15,349,50,floracao,0.7118,0.6225,24.26,37.54,4.31,26.57,79.62,29.44,56021.2,0,saudavel,4.88,12,140,0.3571,2,0.6571,0.1583,53.22,31.69,-2.25,-2.31,5.41,0.7842,0,1,0,0,1
272,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-16,350,51,floracao,0.7172,0.5655,22.35,33.95,0.0,23.85,69.71,24.28,59670.8,1,saudavel,4.88,12,140,0.3643,2,0.6749,0.1251,53.22,29.44,-5.16,-1.5,7.22,0.7152,0,1,0,0,1
273,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-17,351,52,floracao,0.7527,0.6095,24.02,39.51,18.13,25.99,80.05,30.97,39237.4,0,saudavel,4.88,12,140,0.3714,2,0.6927,0.1245,50.93,24.28,6.69,-1.97,5.19,0.7839,0,1,0,0,1
274,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-18,352,53,floracao,0.763,0.6459,21.42,35.76,0.0,24.45,82.35,24.97,60183.5,1,saudavel,4.88,12,140,0.3786,2,0.7097,0.1186,50.93,30.97,-6.0,-3.03,4.32,0.6983,0,1,0,0,1
275,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-19,353,54,floracao,0.8094,0.6786,20.95,39.12,13.52,24.53,80.43,28.45,44612.0,0,saudavel,4.88,12,140,0.3857,2,0.7311,0.1504,50.15,24.97,3.48,-3.58,4.8,0.7272,0,1,0,0,1
276,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-20,354,55,floracao,0.8222,0.6724,16.57,40.24,8.88,21.71,78.87,29.81,48277.7,0,saudavel,4.88,12,140,0.3929,2,0.7542,0.1614,54.39,28.45,1.36,-5.14,4.59,0.7408,0,1,0,0,1
277,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-21,355,56,floracao,0.8032,0.7216,20.73,38.42,4.01,25.02,80.84,26.32,51124.4,0,saudavel,4.88,12,140,0.4,2,0.7685,0.1001,48.85,29.81,-3.49,-4.29,4.79,0.6851,0,1,0,0,1
278,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-22,356,57,floracao,0.826,0.7083,19.89,39.82,9.58,23.01,80.1,26.12,49339.0,0,saudavel,4.88,12,140,0.4071,2,0.7848,0.1142,54.12,26.32,-0.2,-3.12,4.58,0.656,0,1,0,0,1
279,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-23,357,58,floracao,0.8027,0.6918,21.34,36.07,0.0,24.7,74.37,19.11,49339.0,1,saudavel,4.88,12,140,0.4143,2,0.797,0.0855,54.12,26.12,-7.01,-3.36,6.33,0.5298,0,1,0,0,1
280,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-24,358,59,floracao,0.8377,0.6982,18.62,41.31,16.63,22.08,89.1,25.1,41261.2,0,saudavel,4.88,12,140,0.4214,2,0.8092,0.085,52.62,19.11,5.99,-3.46,2.41,0.6076,0,1,0,0,1
281,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-25,359,60,floracao,0.8623,0.7474,20.75,54.57,33.78,23.47,77.27,42.45,37537.2,0,saudavel,4.88,12,140,0.4286,2,0.8234,0.0993,86.4,25.1,17.35,-2.72,5.33,0.7779,0,1,0,0,1
282,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-26,360,61,floracao,0.8768,0.7377,18.55,49.88,0.0,23.63,82.83,34.35,62579.3,1,saudavel,4.88,12,140,0.4357,2,0.833,0.0674,72.88,42.45,-8.1,-5.08,4.06,0.6887,0,1,0,0,1
283,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-27,361,62,floracao,0.8512,0.7178,18.87,45.64,0.0,22.77,67.38,28.16,63801.1,1,saudavel,4.88,12,140,0.4429,2,0.8371,0.029,64.0,34.35,-6.19,-3.9,7.43,0.617,0,1,0,0,1
284,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-28,362,63,floracao,0.891,0.7696,19.67,41.7,0.0,23.5,85.42,23.47,62233.5,1,saudavel,4.88,12,140,0.45,2,0.8497,0.0878,59.99,28.16,-4.69,-3.83,3.43,0.5628,0,1,0,0,1
285,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-29,363,64,floracao,0.8435,0.6844,18.1,38.14,0.0,22.4,87.05,18.02,65359.8,1,saudavel,4.88,12,140,0.4571,2,0.8522,0.0175,50.41,23.47,-5.45,-4.3,2.9,0.4725,0,1,0,0,1
286,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-30,364,65,floracao,0.8523,0.7564,19.48,34.89,0.0,21.72,80.26,16.71,57387.5,1,saudavel,4.88,12,140,0.4643,2,0.8593,0.0496,50.41,18.02,-1.31,-2.24,4.29,0.4789,0,1,0,0,1
287,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-12-31,365,66,floracao,0.8943,0.7638,21.86,31.64,0.0,25.0,80.93,12.71,52007.4,1,saudavel,4.88,12,140,0.4714,2,0.8673,0.0566,33.78,16.71,-4.0,-3.14,4.77,0.4017,0,1,0,0,1
288,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-01,1,67,floracao,0.916,0.8043,20.11,28.8,0.0,24.07,81.49,9.36,58286.3,1,saudavel,4.88,1,140,0.4786,2,0.875,0.0537,0.0,12.71,-3.35,-3.96,4.46,0.325,0,1,0,0,1
289,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-02,2,68,floracao,0.8946,0.7389,18.99,37.0,21.41,21.25,77.16,22.06,39974.4,0,saudavel,4.88,1,140,0.4857,2,0.8776,0.0178,21.41,9.36,12.7,-2.26,4.85,0.5962,0,1,0,0,1
290,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-03,3,69,floracao,0.8857,0.7344,17.68,33.79,0.0,23.15,81.96,15.01,59930.9,1,saudavel,4.88,1,140,0.4929,2,0.8825,0.0345,21.41,22.06,-7.05,-5.47,4.18,0.4442,0,1,0,0,1
291,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-04,4,70,floracao,0.8441,0.6943,17.48,59.85,57.92,21.08,76.4,48.51,30523.0,0,saudavel,4.88,1,140,0.5,2,0.8758,-0.0469,79.33,15.01,33.5,-3.6,4.97,0.8105,0,1,0,0,1
292,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-05,5,71,floracao,0.8488,0.7265,17.05,54.86,0.0,20.32,77.84,40.99,63266.5,0,saudavel,4.88,1,140,0.5071,2,0.8765,0.0053,79.33,48.51,-7.52,-3.27,4.5,0.7472,0,1,0,0,1
293,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-06,6,72,floracao,0.8929,0.7603,18.6,50.18,0.0,23.55,84.55,30.63,60354.7,1,saudavel,4.88,1,140,0.5143,2,0.8823,0.0406,79.33,40.99,-10.36,-4.95,3.64,0.6104,0,1,0,0,1
294,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-07,7,73,floracao,0.884,0.7421,15.69,74.6,57.26,19.35,86.29,63.76,31950.3,0,saudavel,4.88,1,140,0.5214,2,0.8809,-0.0103,136.59,30.63,33.13,-3.66,2.65,0.8547,0,1,0,0,1
295,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-08,8,74,floracao,0.8696,0.7189,18.26,68.35,0.0,23.2,75.54,54.18,56181.2,0,saudavel,4.88,1,140,0.5286,2,0.8742,-0.0464,136.59,63.76,-9.58,-4.94,5.67,0.7927,0,1,0,0,1
296,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-09,9,75,floracao,0.8935,0.7341,17.98,62.68,0.0,21.33,76.49,43.62,55600.6,0,saudavel,4.88,1,140,0.5357,2,0.8741,-0.0011,115.18,54.18,-10.56,-3.35,5.01,0.6959,0,1,0,0,1
297,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-10,10,76,floracao,0.8947,0.7595,18.3,61.31,7.67,21.3,76.92,40.93,56093.1,0,saudavel,4.88,1,140,0.5429,2,0.8754,0.009,122.85,43.62,-2.69,-3.0,4.92,0.6676,0,1,0,0,1
298,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-11,11,77,frutificacao,0.9114,0.7654,18.2,65.12,17.85,22.13,83.26,46.58,41503.9,0,saudavel,4.88,1,140,0.55,3,0.885,0.0673,82.78,40.93,5.65,-3.93,3.7,0.7153,0,1,0,0,1
299,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-12,12,78,frutificacao,0.8951,0.7471,16.39,59.71,0.0,22.3,74.46,37.24,56642.3,1,saudavel,4.88,1,140,0.5571,3,0.8916,0.0463,82.78,46.58,-9.34,-5.91,5.7,0.6237,0,1,0,0,1
300,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-13,13,79,frutificacao,0.9167,0.8102,14.88,54.74,0.0,20.09,82.52,31.58,56511.2,1,saudavel,4.88,1,140,0.5643,3,0.895,0.0238,82.78,37.24,-5.66,-5.21,3.51,0.5769,0,1,0,0,1
301,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-14,14,80,frutificacao,0.8919,0.7565,18.86,62.55,24.77,22.32,83.09,40.73,32241.7,0,saudavel,4.88,1,140,0.5714,3,0.8961,0.0079,50.29,31.58,9.15,-3.46,3.77,0.6512,0,1,0,0,1
302,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-15,15,81,frutificacao,0.8888,0.7809,17.34,59.03,3.38,21.32,79.46,34.62,52685.9,0,saudavel,4.88,1,140,0.5786,3,0.8989,0.0192,53.67,40.73,-6.11,-3.98,4.38,0.5865,0,1,0,0,1
303,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-16,16,82,frutificacao,0.9116,0.7642,12.28,54.11,0.0,19.18,86.18,26.93,54082.1,1,saudavel,4.88,1,140,0.5857,3,0.9015,0.0181,53.67,34.62,-7.69,-6.9,2.65,0.4977,0,1,0,0,1
304,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-17,17,83,frutificacao,0.8697,0.7442,18.13,60.96,22.75,20.72,78.62,37.12,31362.3,0,saudavel,4.88,1,140,0.5929,3,0.8979,-0.025,68.75,26.93,10.19,-2.59,4.43,0.6089,0,1,0,0,1
305,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2024-01-18,18,84,frutificacao,0.9443,0.8016,18.59,69.99,28.21,22.95,78.62,50.26,29935.1,0,saudavel,4.88,1,140,0.6,3,0.9026,0.0329,79.11,37.12,13.14,-4.36,4.91,0.7181,0,1,0,0,1
